network, data_set, data_set_size, num_processes, time_elapsed
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 100, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.27
bnet-sprinkler, sprinkler-uniform-, 300, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.25
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 400, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 500, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.15
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 600, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 700, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.13
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 800, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.11
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 900, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.05
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1000, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.04
bnet-sprinkler, sprinkler-uniform-, 1100, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.06
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.09
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1200, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.01
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.03
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.02
bnet-sprinkler, sprinkler-uniform-, 1300, 1, 0.02
