LLIW,SubjVertMo,LoLevMoistAd,N0_7muVerMo,WndHodograph,MorningBound,LIfr12ZDENSd,IRCloudCover,Date,QGVertMotion,SatContMoist,AMInstabMt,MorningCIN,RaoContMoist,AMDewptCalPl,VISCloudCov,LatestCIN,CurPropConv,CombVerMo,InsChange,Boundaries,OutflowFrMt,CldShadeConv,AMInsWliScen,CombClouds,Scenario,CombMoisture,InsInMt,AMCINInScen,PlainsFcst,AreaMeso_ALS,InsSclInScen,CompPlFcst,CldShadeOth,MeanRH,WindFieldMt,SynForcng,ScenRel3_4,WindAloft,ScenRelAMIns,Dewpoints,LowLLapse,MvmtFeatures,SfcWndShfDis,RHRatio,MidLLapse,ScnRelPlFcst,WindFieldPln,ScenRelAMCIN,TempDis,AreaMoDryAir,MountainFcst,CapInScen,N34StarFcst,CapChange,R5Fcst
Strong,Neutral,Neutral,StrongUp,DCVZFavor,Weak,,Clear,Jun15_Jul1,Neutral,Neutral,Strong,Stifling,Neutral,Stability,PC,PartInhibit,Moderate,WeakUp,Decreasing,Weak,Weak,None,LessUnstable,Clear,B,Neutral,Strong,Average,NIL,WeakUp,LessUnstable,DecCapIncIns,Clear,VeryMoist,LVorOther,LittleChange,B,AllElse,ABI,LowMtsHighPl,ModerateOrLe,NoMajor,MovingFtorOt,Other,ModerateOrLe,B,SEQuad,AB,Other,Wet,SIG,Average,NIL,Decreasing,SIG
Strong,Neutral,WeakPos,Down,StrongWest,None,N1GtLIGt_4,Cloudy,Jun15_Jul1,WeakUp,Wet,Strong,None,VeryWet,Stability,Cloudy,None,Strong,Down,Increasing,None,None,None,MoreUnstable,Cloudy,B,VeryWet,Strong,LessThanAve,SIG,Down,MoreUnstable,LittleChange,PC,Average,LVorOther,LittleChange,B,AllElse,ABI,LowSHighN,Steep,MarkedUpper,DenvCyclone,DryMMoistL,Steep,B,DenvCyclone,AB,None,Neutral,NIL,LessThanAve,SIG,LittleChange,SIG
Strong,StronUp,Negative,Down,StrongWest,Strong,N5GtLIGt_8,Clear,May15_Jun14,Neutral,,None,PartInhibit,Dry,Neutral,PC,PartInhibit,Moderate,StrongUp,LittleChange,Weak,Weak,None,MoreUnstable,PC,D,Neutral,Weak,LessThanAve,NIL,StrongUp,MoreUnstable,LittleChange,Cloudy,Dry,Westerly,LittleChange,D,SWQuad,CDEJ,LowMtsHighPl,Steep,MarkedUpper,DryLine,MoistMDryL,CloseToDryAd,D,SEQuad,CThruK,Other,VeryWet,SIG,LessThanAve,NIL,LittleChange,SIG
Moderate,Neutral,Negative,WeakUp,Westerly,Weak,N1GtLIGt_4,PC,May15_Jun14,Neutral,Dry,Weak,PartInhibit,Wet,Neutral,Cloudy,Stifling,None,WeakUp,Decreasing,Weak,None,Marked,Average,Cloudy,D,Wet,Strong,Average,SIG,WeakUp,LessUnstable,LittleChange,Cloudy,Average,LVorOther,LittleChange,D,LV,CDEJ,LowMtsHighPl,Steep,MarkedUpper,E_W_N,DryMMoistL,Steep,D,SEQuad,CThruK,QStationary,Wet,SIG,Average,SIG,LittleChange,SIG
Weak,Neutral,Negative,StrongUp,DCVZFavor,Weak,N1GtLIGt_4,Cloudy,Jun15_Jul1,Neutral,Neutral,None,None,Neutral,Instability,Clear,PartInhibit,None,WeakUp,Decreasing,Strong,Weak,Some,Average,Clear,G,Neutral,None,LessThanAve,NIL,WeakUp,Average,IncCapDecIns,Cloudy,Dry,Westerly,SigNegative,GJ,LV,G,LowAtStation,CloseToDryAd,OtherRapid,Other,MoistMDryL,Steep,G,WidespdDnsl,CThruK,None,Wet,NIL,LessThanAve,NIL,Increasing,NIL
Moderate,Down,WeakPos,Down,DCVZFavor,None,LILt_8,PC,Aug20_Sep15,Down,Dry,None,Stifling,Dry,Neutral,Clear,TotalInhibit,None,Down,Decreasing,Strong,Weak,None,MoreUnstable,Clear,H,Dry,None,MoreThanAve,NIL,Down,LessUnstable,IncCapDecIns,Clear,VeryMoist,LVorOther,NegToPos,HI,NWQuad,H,HighEvrywher,ModerateOrLe,MarkedUpper,E_W_S,DryMMoistL,ModerateOrLe,H,E_NE,CThruK,QStationary,Dry,,MoreThanAve,NIL,Increasing,NIL
Moderate,Down,StrongPos,Neutral,DCVZFavor,Weak,N1GtLIGt_4,PC,Aug20_Sep15,WeakUp,Dry,None,Stifling,Neutral,Neutral,PC,None,Slight,WeakUp,LittleChange,Weak,Weak,None,Average,PC,G,Wet,None,Average,NIL,WeakUp,,LittleChange,Cloudy,Average,Westerly,PosToNeg,GJ,SWQuad,G,LowSHighN,CloseToDryAd,StrongFront,Other,MoistMDryL,CloseToDryAd,G,LongAnticyc,CThruK,None,Wet,NIL,Average,NIL,LittleChange,NIL
Moderate,Down,StrongPos,StrongUp,StrongWest,Strong,LIGt0,PC,Aug20_Sep15,StrongUp,VeryWet,Strong,PartInhibit,Neutral,Instability,PC,None,Moderate,Neutral,LittleChange,Strong,Weak,None,LessUnstable,PC,J,Wet,Strong,Average,NIL,Neutral,LessUnstable,IncCapDecIns,PC,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowAtStation,CloseToDryAd,NoMajor,DryLine,DryMMoistL,ModerateOrLe,J,LV,CThruK,Moving,Wet,SIG,Average,NIL,Increasing,SIG
Weak,Neutral,Neutral,StrongUp,Westerly,None,N5GtLIGt_8,PC,Jul16_Aug10,Neutral,Wet,None,Stifling,Neutral,Stability,PC,Stifling,None,StrongUp,LittleChange,Weak,None,None,MoreUnstable,Clear,B,Neutral,None,Average,NIL,StrongUp,MoreUnstable,DecCapIncIns,Clear,Dry,Westerly,PosToNeg,B,SWQuad,ABI,HighEvrywher,ModerateOrLe,StrongFront,DenvCyclone,DryMMoistL,Steep,B,DenvCyclone,AB,QStationary,VeryWet,NIL,Average,NIL,Decreasing,NIL
Strong,WeakUp,Neutral,Down,StrongWest,Weak,N1GtLIGt_4,Clear,Aug20_Sep15,Neutral,VeryWet,Strong,TotalInhibit,Dry,Instability,Clear,PartInhibit,Slight,Down,Decreasing,Weak,Strong,None,Average,Clear,K,Dry,Strong,MoreThanAve,SVR,Down,LessUnstable,IncCapDecIns,Clear,Dry,LVorOther,SigNegative,ACEFK,SWQuad,K,Other,ModerateOrLe,MarkedUpper,MovingFtorOt,MoistMDryL,Steep,K,LongAnticyc,CThruK,Moving,Dry,SIG,MoreThanAve,SVR,Increasing,SVR
